Année;PIB;Investissement;Balance commerciale
1993;4495438486;584759813,8;-237760308,4
1994;4586264346;589040360,5;-123794026,4
1995;4863513136;813657418,6;-196617143,9
1996;5073825258;664937240,5;-83115273,64
1997;5364793325;776061445,7;-98883444,24
1998;5577293440;728361257,8;-132765181,4
1999;5875201745;856216518,3;-307898181
2000;6219354273;806319042,6;-216041108,1
2001;6551040876;987899484,1;-312362645,7
2002;6855207726;868151849,3;-180994316,7
2003;7091272067;923917426,9;-231496422,1
2004;7405393051;985713053,5;-178024698,6
2005;7532259620;762435144,7;-139802467,8
2006;7829312268;842129739,4;-257367391
2007;8298002250;1102747256;-410746118,2
2008;8704320326;1005782919;-341975490,5
2009;8906198943;1124472703;-472001561,9
2010;9094481754;1221973846;-504111169,9
2011;9364019722;1284459229;-590028152,4
2012;9814543622;1348483375;-327919476,1
2013;10520350022;1896890122;-508106993,8
2014;11189200116;2072016537;-319704476,5
2015;11388160997;2360969860;-833090755,3
2016;11768488383;2398007222;-446050447,9
2017;12435945493;2991308829;-897423730,8
2018;13268812303;3467436566;-1033558670
2019;14179807375;3814888913;-636152533,5
2020;14725558723;3885882735;-798187314,6
2021;15779238957;4579605127;-1099683506
2022;16765906415;4216917693;-479361182,7
2023;17831007126;4878268949;-916006653,3
2024;19159972711;5391450462;-635776349,7
